,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
158,i have peripheral neuropathy but not diabetes. i have had,I have peripheral neuropathy but no diabetes. Will preg,I have peripheral neuropathy but not diabetes. I have done,I have peripheral neuropathy but no diabetes. I have had,I have peripheral neuropathy but do not have diabetes. I,"""I have peripheral neuropathy but not diabetes, I have"
159,My wife is 54 years old being diagnosed with als for,My wife is 54 years old and she has been suffering from,My wife is 54 years old and has been diagnosed with ALS,My wife is 54 years old and she has been diagnosed with,My wife is 54 years old and has been diagnosed with ALS,My wife is 54 years old and was diagnosed with ALS 2
160,lotf39460 exp ja 2013 is there any real harm,My 84 year old mother is often not hungry and would like,nan,nan,nan,nan
161,i was in hospital for pancretitis on the 2nd,I was in the hospital for pancreatitis. On the 2,I was in the hospital for pancretitis the second day,i was in the hospital for pancreatitis on the 2nd,"The next day I was hospitalized for pancreatitis, I was",I was in the hospital for pancreatitis on the second day
162,i have read that a form of honey might be used to,Name submitted the following request on date they searched: NLM,nan,nan,nan,nan
163,Has etanercept been used to assist sufferers of,Has etanercept been used to treat Parkinson's patients,Has etanercept been used to help Parkinson's patients,Has etanercept been used to help people with park,Has etanercept ever been used to treat patients with,Has etanercept been used to help patients with Parkinson
164,My son discovered it leigh disease infected from the mother side,My son is 4 months old and was infected with Leigh disease,My son is 4 months old he found out he has Leigh,My son is 4 months old and discovered Leigh's disease.,My son was diagnosed with Leigh's disease when he was 4,My son was found out with infected disease from mother side.
165,Dalfampridine could be used to treat spinal mus,Will dalfampridine be effective in people with spinal,Will dalfampridine be effective for people with spinal,Will dalfampridine be effective for people with spinal,Is dalfampridine effective for people with spinal muscular,Will dalfampridine be effective for people with spinal
166,Can i just take it as needed or does it have to,The patient has a family history of cancer and is afraid of,nan,nan,nan,nan
167,Adult progressive spinal muscular atrophy aranduchenne syndrome,Where can someone get tested to make a diagnosis of Arand,A test where someone can be tested to determine a diagnosis of,nan,nan,nan
168,Am a pacu nurse we often use for post op nausea,"I'm a Pacu nurse, we often use it for",I am an ICU nurse who we often use for post,Is there a reason it can't be placed in a hair,I am trying to find information on the placement of the patch,I'm trying to find information on patch placement. Any reason
169,doctors that perform sacral nerve stimulation procedures for fecal,C. perfringens type B is a trigger for multiple,nan,nan,nan,nan
170,i am interested in the rapid withdrawl under anesthesia but do,I have been taking methadone for four years and am,I have been on methadone for four years and am,"I have been on methadone for four years, I",I have been taking methadone for four years and am,I have been on methadone for four years and am
171,i was diagnosed with mucha haberman and i need to,I have been diagnosed with Mucha Haberman and need to,i have been diagnosed with mucha haberman disease and i,I have been diagnosed with Mucha Haberman disease and need,I have been diagnosed with mucha haberman and I need,nan
172,Where can i find someone or some place in boston mass,Bruxism can be a result of tension or anxiety,nan,nan,nan,nan
173,My mother suffers from esophogeal disorders. I,My mother suffers from esophageal disorders. I am,nan,Could you recommend a specialist in the DC area or on the,nan,Could you recommend a specialist in the DC area or on the
174, im looking for a geriatric psychiatrist in the sun city west,I am seeking a geriatric psychiatrist in the Sun City West,I am looking for a geriatric psychiatrist in the sun city,I am looking for a geriatric psychiatrist in the Sun City,I am seeking a geriatric psychiatrist in the western area of,I am looking for a geriatric psychiatrist in the Sun City
175,i noticed there is no listing for walgreens low dose,I noticed there is no listing for Walgreens low dose,I noticed there is no listing for low dose aspirin at Wal,nan,I noticed that Walgreens has no listing for low dose,nan
176,Family member suffering from pemphigus vulgaris.,I have a family member who has pemphigus,I have a relative who suffers from pemphigus,i have a family member who suffers from pemphig,A 29 year old young lady has been taking steroids for treatment,Pemphigus vulgaris has been going on for
177,mayonnaise often used to be made at home with eggs,Some sites claim it can even prevent bacterial growth and thus help,Mayonnaise has a bad reputation because it is used in,Some sites insist that it can even prevent the onslaught of bacterial,Many websites insist that mayonnaise is a safe food.,Many sites insist that mayonnaise is a safe food and
178,Is it okay to drink alcohol in moderation when taking ampic,Is it OK to drink alcohol in moderation when taking ampic,Is it okay to drink alcohol in moderation when taking ampic,nan,Can I drink alcohol in moderation while taking ampicillin?,nan
179,What is the possibility of atypical pneumonia occurring again less," does this often occur after an operation, what is the cause",nan,nan,nan,nan
180,Furosemide was added to diltiazem in,Pensioner added furosemide to diltiaz,Furosemide was added to diltiazem to,Furosemide was added to diltiazem to,Doctors added furosemide to diltiazem in,Furosemide was added to Diltiazem to
181,The treatment for curvature of the spine in children whose backs,My daughter has IP and was diagnosed at birth 27 years ago,nan,nan,nan,nan
182,i have had jock itch just itch no rash for 7,"""My blood pressure goes up at night when I'm sleeping",nan,nan,nan,nan
183,i am trying to find any article photograph or image that references,I am looking for a company or research facility that can perform,nan,nan,nan,nan
184,My father is having trouble with the kidney he received from a,A friend of mine has been suffering from foam in her mouth,nan,nan,nan,nan
185, have you experience in hearing loss due to autoimmune disorder called c,Do you have experience with hearing loss due to an autoimmune disease,Do you have any experience with hearing loss due to an autoimmune,Have you ever suffered from hearing loss due to an autoimmune disease,Have you experienced hearing loss due to the autoimmune disease Cogan,Do you have experience with hearing loss due to an autoimmune disorder
186,My father has ms and my mothers sister has been diagnos,Name has suffered from ALS since 3rd grade as far as,My dad has multiple sclerosis and my moms sister has been diagnosed,At 18 I was told I needed psychiatric help because I was,My father has MS and my mothers sister was diagnosed with ALS,By the time I was 18 I was told I need psychiatric
