,gold_questions,fqd_german,fqd_italian,fqd_french,fqd_chineese,fqd_spanish
163,has etanercept been used to assist parkinsons,has etanercept been used to treat Parkinson's,etanercept has been used to help Parkinson's,has etanercept been used to help people with park,has etanercept ever been used to treat patients with,has etanercept been used to help patients with Parkinson
164,my son's age 4 month old discovered it leigh disease in,my son is 4 months old and was infected with leigh,my son is 4 months old he found out he has le,we have a complete family history with leigh's disease ,my son was diagnosed with leigh's disease when he was,i have full reports for my son and MRI and everything at
165,will dalfampridine be effective for people with spinal,will dalfampridine be effective in people with spinal,will dalfampridine be effective for people with spinal,will dalfampridine be effective for people with spinal,is dalfampridine effective for people with spinal muscular,will dalfampridine be effective for people with spinal
166,does this have to be taken everyday for it to work can i,nan,nan,nan,nan,nan
167,testing where can someone be tested to determine a diagnosis of adult progressive,testing Where can someone get tested to make a diagnosis of arand,test where someone can be tested to determine a diagnosis of adult progressive,nan,nan,nan
168,am trying to find info on patch placement any reason it cannot be placed,the patch can't be placed in a hairless area other,"the patch is fine from the neck to the waist, upper t",I am an OR nurse we often use it for post op,pacu nurse is trying to find information on the placement of the patch,patch placement can't be placed on another hairless site besides
169,instututionsdoctors perform sacral nerve stimulation,nan,nan,nan,nan,nan
170,i am interested in the rapid withdrawall under anesthesia .,methadone has been taking the medication for four years . but,am interested in rapid withdrawal under anesthesia but have no idea where I,am interested in rapid withdrawal under anesthesia but have no idea where I,methadone is a rapid detox under anesthesia . the,am interested in rapid withdrawal under anesthesia . I have no idea
171,clinicaltrialsgov question general information i was diagnosed with much,clinicaltrialsgov Question General Information I have been diagnosed with Much,clinicaltrialsgov general information question i have been diagnosed with,I have been diagnosed with Mucha Haberman disease . need,clinicaltrialsgov Questions General Information I have been diagnosed with much,nan
172,clinicaltrialsgov question general information where can i find someone,nan,nan,nan,nan,nan
173,ent specialists esophogeal disorders would you ,ENT specialists for esophageal disorders are available in,nan,ENT specialists in esophageal disorders could you recommend,nan,ENT specialists in esophageal disorders could you recommend
174,im looking for a psychiatrist in the sun city west az,geriatric psychiatrist seeking to perform evaluation for loved one .,geriatric psychiatrist in sun city west az looking for,geriatric psychiatrist looking for male loved one who may be suffering,"geriatric psychiatrist in the western area of Sun City, Arizona",geriatric psychiatrist looking for a loved one who may be
175,no listing for walgreens low dose aspirin .,I am allergic to povidone and just started taking their low dose,I noticed there is no listing for low dose aspirin at Wal,nan,Walgreens has no listing for low dose aspirin .,nan
176,pemphigus vulgaris has been going on for last 6,pemphigus vulgaris has been going on for 6 months,pemphigus vulgaris has been going on for 6 months,pemphigus vulgaris has been going on for 6 months,pemphigus vulgaris I have a family member who,pemphigus vulgaris has been going on for the past
177,mayonnaise is used in combination with other items that cause food poison,"mayonnaise has carried this stigma ever since, but many sites insist",mayonnaise is used in combination with other items that cause food poison,mayonnaise is used in combination with other things that cause food poison,mayonnaise is a safe food and can cause food poisoning,mayonnaise is used in combination with other items that cause food poison
178,is it okay to drink alcohol in moderation when taking ampicillin ,ampicillin will negate any medical effects of the drug .,is it okay to drink alcohol in moderation when taking ampicillin?,nan,can i drink alcohol in moderation while taking ampicillin? can,nan
179,atypical pneumonia occurs less than a month after treatment .,nan,nan,nan,nan,nan
180,i have been suffering since december 2014 with a ,"the rash on my arms, chest and face keeps coming back ",furosemide was added to diltiaze,furosemide was added to diltiaze,86-year-old has been suffering from skin rashes,86-year-old has been suffering from a rash
181,curvature of the spine in the 1870s in ma was,nan,nan,nan,nan,nan
182,i have had jock itch just itch no rash,nan,nan,nan,nan,nan
183,i am trying to find any article photograph or image that references to,nan,nan,nan,nan,nan
184,kidney transplant my father is having trouble with the kidney he received from,nan,nan,nan,nan,nan
185,hearing loss due to autoimmune disorder called cogan syndrome if yes,hearing loss due to an autoimmune disease called Cogan syndrome .,hearing loss due to an autoimmune disorder called Cogan's syndrome,have you ever suffered from hearing loss due to an autoimmune disease called,hearing loss due to the autoimmune disease Cogan's syndrome ,hearing loss due to an autoimmune disorder called Cogan's syndrome
186,fibromyalgia is hit me so hard i,my name is Name and I suffer from terrible fibromyalg,my name is name and i suffer terribly from fibromy,my father has MS and my mother's sister was diagnosed with ,my name is name and i have severe fibromyalg,fibromyalgia terribly my father has MS and
187,clinicaltrialsgov question specific study hello my daughters name is name,"clinicaltrialsgov Question specific study Hello, my daughter is called",clinicaltrialsgov specific study question hello my daughter is called name,the name of my daughter is name and she has a free tri,clinicaltrialsgov Question Specific Research Hello my daughter's name,"clinicaltrialsgov asks specific study Hello, my daughter is"
188,research cautions against concumption of fried foods .,nan,nan,nan,nan,nan
189,my son is patient of mlc can we plan to another,my son is a patient with MLC . can we plan,"my son is a MLC patient, can we plan another baby",my son is a mlc patient can we plan for,nan,"my son is a mlc patient, can we plan"
190,chromosome 20 reattachment results of my amn,chromosome 20 reattachment amniocent,amniocentesis chromosome 20 ,amniocentesis chromosome 20 ,a part of chromosome 20 broke off and then ,a piece of chromosome 20 broke off and then 
191,i get my ears cleaned out because of allot of wax,nan,nan,nan,nan,nan
192,i usually take my thyroid med when i first get up,I forgot to take my thyroid medication this morning . I usually take,"this morning i forgot to take my thyroid medicine, i usually",I forgot to take my thyroid medication this morning . I usually take,I forgot to take my thyroid medicine this morning . I usually take,this morning I forgot to take my thyroid medication . I usually take
